Reference, Value, Footprint, Datasheet
C1,10uF,Resistors_SMD:R_0805,
C3,100nF,Resistors_SMD:R_0805,
C6,100nF,Resistors_SMD:R_0805,
C2,1uF,Resistors_SMD:R_0805,
C4,100nF,Resistors_SMD:R_0805,
C5,100nF,Resistors_SMD:R_0805,
SW1,SW_PUSH,CustomSmd:MicroSwitch_6x6mm,
R1,100k,Resistors_SMD:R_0603,
IC1,STM32L051K8T6,STM32:STM32L051-LQFP32,
P3,CONN_02X04,Socket_Strips:Socket_Strip_Straight_2x04,
P1,CONN_02X06,Pin_Headers:Pin_Header_Straight_2x06,
D1,LED,CustomSmd:R_ThroughHole_SMD1206,
R2,475,Resistors_SMD:R_0603,
U1,PIR,CustomModules:PIR,
Q2,PMosfetGen,CustomSmd:SOT23,
R5,47.5k,Resistors_SMD:R_0603,
R8,3600,Resistors_SMD:R_0603,
Q4,PMosfetGen,CustomSmd:SOT23,
R7,47.5k,Resistors_SMD:R_0603,
P4,CONN_01X04,Socket_Strips:Socket_Strip_Angled_1x04,
Q1,PMosfetGen,CustomSmd:SOT23,
R4,47.5k,Resistors_SMD:R_0603,
R3,100k,Resistors_SMD:R_0603,
C7,10uF,Resistors_SMD:R_0805,
R6,10k,Resistors_SMD:R_0603,
C12,C,Resistors_SMD:R_0805,
R13,100k,Resistors_SMD:R_0603,
R14,100k,Resistors_SMD:R_0603,
C10,10uF,Resistors_SMD:R_0805,
R9,1M,Resistors_SMD:R_0603,
C11,100nF,Resistors_SMD:R_0805,
R12,10k,Resistors_SMD:R_0603,
C13,10uF,Resistors_SMD:R_0805,
R15,1M,Resistors_SMD:R_0603,
C14,100nF,Resistors_SMD:R_0805,
R10,10k,Resistors_SMD:R_0603,
R16,10k,Resistors_SMD:R_0603,
D2,PhotoDiode,CustomModules:PD638C,
U2,MCP6004,CustomSmd:SOIC-14,
P5,CONN_01X02,Socket_Strips:Socket_Strip_Straight_1x02,
Q5,AO3401,CustomSmd:SOT23,
R11,47k,Resistors_SMD:R_0603,
C8,10uF,Resistors_SMD:R_0805,
U3,EPL3015,CustomInductors:EPL3015,
C9,10uF,Resistors_SMD:R_0805,
U4,TPS61222,DC_DC_Converters:TPS6122x,
